source_row_id,state,region,source_section,award_category,recipient_or_awardee,provider_equipment_or_role,county_or_service_area,award_stage,source_document,source_posting_window,official_source_url,refresh_date
IA-059,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Shelby County Chris A. Myrtue Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-060,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Shenandoah Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-061,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Sioux Center Health,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-062,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Spencer Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-063,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — St. Anthony Regional Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-064,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Stewart Memorial Community Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-065,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — UnityPoint Health - Marshalltown,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-066,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Van Buren County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-067,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Van Diest Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-068,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Veterans Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-069,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,"Best and Brightest Provider — Virginia Gay Hospital, Inc.",Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-070,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Wayne County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-071,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Whiting Commercial Development Corporation,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-072,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — WinnMed,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-073,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Adair County Memorial Hospital,Low Dose CT exams Medical Systems,Adair,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-074,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Avera Holy Family Hospital,MRI,Emmet,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-075,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Belmond Community Hospital,Robotic surgical system,Wright,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-076,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Burgess Health Center,Mammography system with high-resolution detector and ergonomic upgrade,Monona,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-077,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Crawford County Memorial Hospital,MRI,Crawford,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-078,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Dallas County Hospital,MRI,Dallas,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-079,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Davis County Hospital,Nuclear imaging system,Davis,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-080,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Decatur County Hospital,CT/PET scanner,Decatur,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-081,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Ellsworth Municipal Hospital / Hansen Family Hospital,Robotic surgical system,Hardin,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-082,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Floyd Valley Hospital,Robotic surgical system,Plymouth,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-083,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Greater Regional Medical Center,Robotic surgical system,Union,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-084,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Hancock County Health System,Fixed MRI unit,Hancock,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-085,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Hawarden Regional Healthcare / Hawarden Community Hospital,Robotic surgical system,Sioux,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-086,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Humboldt County Memorial Hospital,MRI,Humboldt,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-087,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Lucas County Health Center,MRI,Lucas,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-088,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Mahaska County Hospital / Mahaska Health Partnership,Fixed PET/CT with cardiac capability,Mahaska,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-089,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Manning Regional Healthcare Center,MRI,Carroll,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-090,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,"Mercy Health Services-Iowa, Corp.",Endoscopy system,Dubuque,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-091,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Clinton Medical Center,MRI,Clinton,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-092,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Elkader Medical Center,X-ray system,Clayton,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-093,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Genesis Foundation,CT scanner,Clinton,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-094,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne New Hampton,CT scanner,Chickasaw,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-095,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Newton Medical Center,Fluoroscopy / X-ray system,Jasper,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-096,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne North Iowa Foundation,Robotic bronchoscopy system,Cerro Gordo,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-097,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Oelwein Medical Center,Digital radiography system,Fayette,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-098,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Mitchell County Regional Health Center,CT system,Mitchell,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-099,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Orange City Area Health System,Robotic surgical system,Sioux,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-100,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Pella Regional Health Center,Biograph Trinion PET/CT,Marion,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-101,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Myrtue Medical Center,MRI,Shelby,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-102,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Cherokee Regional Medical Center,Robotic-arm assisted surgical system,Cherokee,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-103,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,MercyOne Centerville Medical Center,CT scanner,Appanoose,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-104,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Jones Regional Medical Center,Robotic surgical system,Jones,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-105,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Van Buren County Hospital,MRI,Van Buren,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-106,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Waverly Health Center,Robotic surgical system,Bremer,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-107,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,Wayne County Hospital,Linear accelerator,Wayne,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-108,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Equipment,WinnMed,CT scanner,Winneshiek,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26009 Best and Brightest - Medical Equipment Procurement; Amendment 1,Posted 1-30-26 to 2-13-26; Amendment posted 2-27-26 to 3-6-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-109,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Grinnell Regional Medical Center,Maternal,"Iowa, Marshall, Tama, Poweshiek",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-110,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,St. Anthony Regional Hospital,Maternal,"Audubon, Calhoun, Carroll, Crawford, Greene, Sac",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-111,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Cass Health,Maternal,"Adams, Adair, Audubon, Cass, Montgomery",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-112,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Mahaska Health,"Maternal, Cardiology, Surgery, Oncology","Jefferson, Appanoose, Davis, Iowa, Jasper, Keokuk, Lucas, Mahaska, Marion, Monroe, Poweshiek, Van Buren, Wapello, Washington",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-113,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Van Buren County Hospital,Geriatrics,"Van Buren, Davis, Jefferson, Lee",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-114,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Jennie Edmundson Memorial Hospital,Cardiovascular,"Shelby, Cass, Audubon, Montgomery, Mills",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-115,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Guttenberg Municipal Hospital,Chronic Disease,"Clayton, Dubuque, Delaware, Allamakee",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-116,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Sioux Center Health,Maternal,"Sioux, O'Brien, Woodbury, Plymouth, Lyon, Osceola",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-117,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Marengo Memorial Hospital,Cancer,"Iowa, Washington, Poweshiek, Benton",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-118,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Centers of Excellence,Decatur County Hospital,Chronic Disease,"Decatur, Ringgold, Wayne, Union, Clarke, Lucas",NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC26008 Centers of Excellence,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
